_id;app;appVersion;reviewText;author;date;ratingStars;ArDoc classification;Preclassification;Subclassification
57291641507c69054da8e6be;Autostarts;01.09.07;LG G4. I have used this app in the past with other phones but it seems to be broken with my G4 running Android 5.1. I grant it SU permission but it spits back a toast about not having SU permissions when I try to disable an app. Please fix.;Matt Ferguson;04.11.15;3;PROBLEM_DISCOVERY;COMPATIBILITY;ANDROID_VERSION
57290da9507c69054da8de40;A Comic Viewer;1.4.1.4;Crushes a lot on lollipop Stated after the update. Reloaded to check if android optimized it improperly but no, it wasn't the problem.;Rustam Djakhangirov;21.04.15;2;PROBLEM_DISCOVERY;COMPATIBILITY;ANDROID_VERSION
57290e8a507c69054da8df4a;A Comic Viewer;1.4.1.4;This app needs updating. Doesn't retain custom zoom, doesn't auto open next folder, slow transition,;A Google User;04.07.13;2;INFORMATION_SEEKING;COMPATIBILITY;ANDROID_VERSION
572910bd507c69054da8e15e;Abstract Art;01.01.03;Fix issue It doesn't display on lolipop;Mariano Rivera;11.04.16;1;PROBLEM_DISCOVERY;COMPATIBILITY;ANDROID_VERSION
57291639507c69054da8e6ae;Autostarts;01.09.07;Used to work, doesn't work on MM any longer I've used this app for a while after buying it and it worked perfectly. With Android 6 (MM) it doesn't work since it can't see root for some reason, rendering the app useless. Please help developer :(;Danny Levy;16.04.16;1;OTHER;COMPATIBILITY;ANDROID_VERSION
57291639507c69054da8e6af;Autostarts;01.09.07;Great application! For Lollipop & below, wish it was updated to work on Marshmallow tho. Still 5 star even though I can't use it;A Google User;15.04.16;5;INFORMATION_GIVING;COMPATIBILITY;ANDROID_VERSION
5729163b507c69054da8e6b6;Autostarts;01.09.07;Not working Not working on Nexus 6P MM 6.01. Can't get root access. Was working on my Nexus 5 running 6.01. Please fix.;Christian Bautista;29.01.16;4;PROBLEM_DISCOVERY;COMPATIBILITY;ANDROID_VERSION
5729163b507c69054da8e6b7;Autostarts;01.09.07;Not working on 6.0, doesn't see root.;Dan Palazzolo;12.01.16;3;PROBLEM_DISCOVERY;COMPATIBILITY;ANDROID_VERSION
5729163f507c69054da8e6bd;Autostarts;01.09.07;Android 6? Any plans to support Marshmallow?;Rod S;11.11.15;3;INFORMATION_SEEKING;COMPATIBILITY;ANDROID_VERSION
572919a7507c69054da8ea33;AnkiDroid Flashcards;02.05.04;Widgets Small widget doesn't work in android 6.0 LG G3. I mean it doesn't show untrained words.;A Google User;06.03.16;3;PROBLEM_DISCOVERY;COMPATIBILITY;ANDROID_VERSION
